Difference of "all_files" between "b1.6.6" and "b1.7".
Changed file "bo.class" from "9852fb4010bde9482e7ea175f06c51aa5f53a91d" to "efbbab42dbfb2eec09321b1f5384cdfcc4f70076".
Changed file "bp.class" from "d7a28a99a2e53afbf534d1462d62fa512b4b3447" to "2d0862af208b73989653a0a0f1bc15f326ba6d1a".
Changed file "bq.class" from "993828b22449e768666db744c59098dd5f766afb" to "8927028503fc352f186244f0daa39277cf559e81".
Changed file "br.class" from "dba01d4480ea8f253536837677045a4d19695a19" to "8b3d278587c6ee9487e0a691c6c12f35c77fcad9".
Changed file "bs.class" from "74e558c42b0a3c078fa65a8c22febd25349b30c1" to "468cccdc1e28741b32a67af4994f3a50667d5e90".
Changed file "bt.class" from "f2c93879e96829951cf102b1a2e0ba74b72eb6c7" to "455e69ece79a66cbb0612c6b01fe92333eebf769".
Changed file "bu.class" from "5a2fed472f8d604784c89681438b9038bc1ca660" to "6cddde669ccb963cbfb762572773741baad385b9".
Changed file "bv.class" from "8f45fdaca2d8104f6ce5cbd401f0dc892370b659" to "b37e386870dc3cd4335c742c9f2014bc785be693".
Changed file "bw.class" from "96cbc71540b6fe0647e46fd46b7d7bbc18fdd593" to "b0684819d6b82d2fdaa74c60f53afc08901951cb".
Changed file "bx.class" from "8f8fc8ff6c2cbabda9220ce4861d5b6f9bf63fa3" to "f142a6ec57f65d6fd409e8ff84a4bc817ce61e49".
Changed file "by.class" from "046993adee5fd3bff09d0f4b269851469fba9d42" to "6042c936741bfce5fe7a0600c9d66aa1b31069a5".
Changed file "bz.class" from "df7a708a5b1002ba7646f052a15a4a63fd54daf5" to "33082b745fb231636de82799903f48309d1fbbaa".
Changed file "c.class" from "81cb11b04328efecfddfacf3f45868e5f653fb22" to "e69e16d2821cf84e02fc0fca7f36eac80035cd88".
Changed file "ca.class" from "84148ebad3eadd1e71d5d5093e53bc09bdac3424" to "1ae57e71436670a8f527dd7db7fd23cc0d57ee8d".
Changed file "cb.class" from "797b2185d5238db7c3a13834dfeb725da9425974" to "1b64b9855bc884178a1898d6f8c0cacbe97709be".
