Difference of "all_files" between "b1.0.2" and "b1.1-1245".
Changed file "bt.class" from "fb23e38aef167caa1f05044f6ca65d8a610d2028" to "662a9f5dff3afbe798e73c387f8a5b35f8a92b10".
Changed file "bv.class" from "e10c5e42041b0cb25d702a512850b3b653c734cf" to "ca213142b56335e7f84ba0cf9be9bb884b274ea1".
Changed file "bw.class" from "e7b8a3c9bd686b5aa9946e5ce052ee580849b7e2" to "b38ee72dc313e890c23866b05ead346cf1b41281".
Changed file "bx.class" from "3ec6e12d5632796558871c85e8df70784e1ec721" to "7f8a4f90733bef07219fb3c140d7447c267ee0bd".
Changed file "by.class" from "777b3317e167989f67b6adbd3f4068c4cea9b9be" to "3229c08e210bb78a18d841a0806b282a2b163f1c".
Changed file "bz.class" from "2823685e8e4b1c999cebddaec22b9d5f742fcf44" to "89020d63c1b606b5c2f0f087121e2cff3eb58542".
Changed file "c.class" from "e724511435232ea2f3d806842ab88db210fecbd0" to "398805bd3b0c9d1137e9d59668de151390c88a67".
Changed file "ca.class" from "12f11541b6c48a95bd72569bb79006ef8486541a" to "aba2c143e4872045668fd217dafccb4e1810a482".
Changed file "cb.class" from "6e7a61c18dc0d70e81f7e16829c392fb98f7b338" to "9d67fd1fbcd41291986ee8f57b806f4d3fed51d7".
Changed file "cc.class" from "eb226ee1399fdcbcac76cedd72b3b4e962f59857" to "50d53dd42f79f380bd6b49da0959f8fa6a1a73b8".
Changed file "cd.class" from "03223ea91d53509eeac9896cdb701016e3e7e693" to "329daf7ca34120dfb1ca1989d302bff83e4d5dc4".
Changed file "ce.class" from "f371af49e12b725720f9845158bbc9a70bd5dd95" to "c818945e737e18b1e32261175508d8f58162914b".
Changed file "cg.class" from "3096c5cbf81ff92a995371f25f257c8789ece7ff" to "c19848a7d8785fca1d292c6dc5d101f17bc693b4".
Changed file "ch.class" from "22e0f48e802d753b3ba45a0b3c956a37cc269bd3" to "5e95e07669d8b9abee78de4a259f78084e94b635".
Changed file "ci.class" from "b0eefa5a3107b1f0b9cc72a4bc32e98915c1a9a0" to "4fee6bb1f5c34615b4602a0dfda97eb0461c369f".
Changed file "cj.class" from "5bcf8d736aeb417f0218ca112b9391dbe84cd488" to "50a5997c9141f90facf02e1b00fef9b9a2bd5336".
Changed file "ck.class" from "cf325156b04a0ea45e30c0d098a2d233c5734556" to "ba13c394c5f2f599e66aa15cc1bac3c2607ba20b".
Changed file "cm.class" from "33d9589df89e619b7a7c5767121bd25c3ea424e2" to "78192b20c61411381a1b50cbb15617a32a9a2156".
Changed file "cn.class" from "a5655c0eebf821e9df998e8ad358f99e19e72b8a" to "fbdabb6efe90635b39a3d87d90489fc6716f5821".
Changed file "co.class" from "09d533d11dcc46ef5d454e326f30eccaf2aab8f6" to "f48c19dd1e1ba8f32f59d3d7dfde4d9d4fcabe14".
Changed file "com/jcraft/jorbis/Floor0.class" from "0ca41cc6d049ef7bbb913dbef4ca4dc6579ffbb5" to "b4627cb6b74db58195e04d34bec84981f6f055a3".
Changed file "com/jcraft/jorbis/StaticCodeBook.class" from "3ffb2fb7b46d28fd12e086665f6d33c1fa6a7a19" to "1d8387d3e7fd786ba7680afce89ca346131ebaf0".
Changed file "cp.class" from "249e66e2d331503c8dba150fa50104a8a225bba9" to "b600796882e07bc1edff402536ec469392734a85".
Changed file "cq.class" from "67fb5194e6ec1206d014eea24465d51fbf2abc5c" to "dd7288f87e301a42ef672dddba6440c096ab4b8f".
Changed file "cr.class" from "555aa43c2279a3416ba6277dd7e60224debbcf26" to "b6d7b68480aaa09c288d67accda7e3fc438d5538".
Changed file "cs.class" from "c326e7730ef5b06033ed2257653b6ab2984cc43a" to "4e47b2298dbd8deb3076a0222798c6d2559fed98".
Changed file "ct.class" from "2da739e57b9a3e73e58c797029edcda5fb2cd5a0" to "c5a75207e480fb51addffed663ad79d3d8ff343d".
Changed file "cu.class" from "5c893aa403c8adb0f969921c5f862765c0b3353d" to "fd9048aae515ba9eacf982b383036576202fe8c4".
Changed file "cv.class" from "de0640998dc8df76dd345e59e47324b1809651e1" to "bcbb0137145ec705526902df438dbe88bcce0b51".
Changed file "cw.class" from "f4ed63474116404082ec5108eb332ea0df174c97" to "7611f67e1597fdc6eafe461a52d9fb4e597cda7d".
Changed file "cx.class" from "88f36e1359279b09a7ac9909663f2e57c143b98e" to "e294b5610ca514dd0370d3135eb7f00c724b8db9".
Changed file "cy.class" from "c3e38c1ddc28f38d2effc5657aaf701e6b1d8029" to "dc9ac90bdb434f8868dbb17f1139aac7cfac5854".
Changed file "cz.class" from "f74574aa904e966d442e8e33fa99e3d2d0c1f834" to "71d5f06b7dcc4c5f6adda82e23d3bc59d869eb16".
Changed file "da.class" from "a9ba4dd94d4301036192b863a5b4bf7fbff7a4c8" to "d6e24cb82ebd734d37aa7d7e86510ed5605d6beb".
Changed file "db.class" from "3a12007312112408d02b7c9713f9a6af80d7c4dd" to "3daae452dea812c5339624acab24aae6253f94d6".
Changed file "dc.class" from "4c8dcbb96fac69223fed3c100e987344e380ced8" to "256b849a998dfd6cdda9d268b198a871d4f8d166".
Changed file "dd.class" from "5bb3adf422d35b85b2bf70b2bcb8e2b8a496cee0" to "e467be031fbba0f9831908ad1c1844f3525f8be5".
Changed file "df.class" from "0b6573e06036f36d445fc136f1df1a705c7584d7" to "55e4d3b82aab2f05b86ccc8ab43054c42b4cc207".
Changed file "dg.class" from "42069a291960f6f3b0c547a3a200677d72c8dfde" to "145443242cc9a9bc57593520d7a8fbb729a4a974".
Changed file "dh.class" from "f7eb22a7ac437b4d0561eb13dbe7109d94a46f3d" to "be4633ff3c6aa5fca09c00f220d792092e9e1fdb".
Changed file "di.class" from "85322632e38eadcd4b258af253accc9146e2c69d" to "3c1717681ec1ce565d36b8840169ff0c5c70e0af".
Changed file "dj.class" from "d30f91434d43b16cef95e2a76a5ac4eee38b82a0" to "d17c3647241031b5381329c33c5981f8a6e72520".
Changed file "dk.class" from "74d05490b5f0fb267d8b1c558acdfb6fc97a9065" to "509b2dc79653ef044de9bf2504bf5e305d8f4de0".
Changed file "dl.class" from "2eccd18b2e9ad6b920d51a99b7640911a38dfd16" to "2a1f3531577b2d487949f124fc701469e13b7081".
Changed file "dm.class" from "bd71346ea1b6528c3b87d46cb627884cae2ab71a" to "694902d4951ab5d7039a137d64da8935fc8fa881".
Changed file "dn.class" from "4928ce5f92d0601b6bb6259d5acef6ff90cc5c07" to "b1ef4a89c3ecffcb331681c9e473630f0621a523".
Changed file "do.class" from "7aef3a3f4356759597a0a4110fb2485026ddf124" to "1fd05ead4d148308b14d3a65e4ea0e5573314c70".
Changed file "dp.class" from "5daabc6dd8a04ceb072f58a32263f8d368427e22" to "2f2923b5d355f5854f81b08f87adcbcb0a9f31bd".
Changed file "dq.class" from "41418f489e933f969c1c0d5b8856bb7e2710bbba" to "f0284ef56948fa8352a43b9a64e94f715031e18d".
Changed file "dr.class" from "84034425065ffbc846c0009c6b3c705335f4014b" to "69a94e900c49169b964cf60bb248a47997cef9f6".
Changed file "ds.class" from "1ba4280594b162efcb724ebc0dae121caca2bc67" to "a85ab1fd770bd9547ee0b7e21486e676cf8a0b1a".
Changed file "dt.class" from "ec34985353fff77c7065c2372024003757d8d12f" to "14bbdf0249ed9fc1fd2e99489f1431fc14ccacba".
Changed file "du.class" from "3425ecde7cc18f66aab4d66011c491f7e6eb2e21" to "9dfa305cf6037910c9870e7e87d66f7390d9ffd7".
Changed file "dv.class" from "84643288ddd1e4488e466c741b0d984be9e5ed46" to "fd6451c11da96b1a3504ee37f8e149347a1e2efd".
Changed file "dw.class" from "d63b673b87e50992fb0c81369d5008579440da55" to "3716773658228690f6421111ce4b13717f838293".
Changed file "dx.class" from "7d42944dd324916b53f40c47d7fece3c71556f55" to "9136d735899b00f2ffd9041f576e681839344eed".
Changed file "dy.class" from "1f2541d2b0880722021c10db1c9ee353b6348f55" to "e7345e0da96f54b6f342bf2be68ef23b7cd5e3dc".
Changed file "dz.class" from "005df492ab0901212fd979d9986b31edc5e95c51" to "3708a4159e6f20d80960bb2aa9a053762374e251".
Changed file "e.class" from "ee0c92a917f16b9c775b08d6c6941b8665ebee41" to "314fc0d1b9f146cda9099e9647d6b6301ad0c974".
Changed file "ea.class" from "e897afb78302a539ddeadd57727798a0b1336db4" to "b9a367780011d691dfad767d51fceb912a81b342".
Changed file "eb.class" from "28798c7c599880b78b0f839d43c0f08cca5f19cc" to "a4c34a894aaa27dd3493c4e29e4c5da71b44bf7d".
Changed file "ec.class" from "ff11c8a047f7fb817886906f60f3488942d69ceb" to "dd9efe24f64eec5d87fd58cf5d0743401d369df6".
Changed file "ed.class" from "b505e6dbbf963962aa50a3ad79a6e88dc0892d33" to "10f0b12e904183013253947874e77992b05915d5".
Changed file "ee.class" from "803ae260db630f7e2ac884b52f36492837056e38" to "29e2ae6d89bcfd2a656b1e9ecd80db595e9e436a".
Changed file "ef.class" from "fdcf816e666bdeae66049bd762f0fc36db4deb65" to "6abd4468bc26802998a116ba4a51b224be886454".
Changed file "eg.class" from "9eacd58d448b51f56759e51dee366bce00c3f30b" to "7e0eb390cfd4bc9117589701d678894846815b20".
Changed file "eh.class" from "386a9d99d1a2f4966c966e5ce18823140196d622" to "b7f7e37bc7bddbc2573269c18bb22d069e8e59a1".
Changed file "ei.class" from "ed7256e609b30b3fee4fd9c760e8bd27e4bb2f77" to "e0b6c86f46e81a8a3aba71d53020a3d1b714f633".
Changed file "ej.class" from "8f5b8eb218349bc188b79f105f38197c8e096815" to "e974cabe61c934dbdd6b97da0a43e65c28e565df".
Changed file "ek.class" from "c08ca234bf49aaad70fe52799c364027c3055425" to "e8ca027890e4652a1c9dbde47cb4b49b35e01267".
Changed file "el.class" from "97c4c47c91b210f7075b097537cab1fb00e60575" to "5514556d24bf258f7055023cc18bccceae648e50".
Changed file "em.class" from "35921cbe433277e557e15eefc07fe26158e2e993" to "5d8b8420fe12956f2a95a14442f19f33a979fe7f".
Changed file "en.class" from "839fc91af40dfabc640db8e78aa8b7b10880edd6" to "e5a5be6fdc01e64284151dc6a8f6d0bb051ff82c".
Changed file "eo.class" from "88ee3c27fff92db84174c7e3b4ac23a1ebdd9b96" to "a22b1e7d72f6038911c88356fd5227aae5f8b0ed".
Changed file "ep.class" from "4d2a13ba4c22ad53bdcd32a7496abff3e137c03b" to "db76e70fb76e12c8bcb909f52f4465e4067a0710".
Changed file "eq.class" from "111d9553a894d4631b3165f6c4076395cb395264" to "d15ab87d8d61c43af3a073a03e2c297226b14439".
Changed file "er.class" from "f543b85c6f1b5e684e53076cbf243e3b5a3120f0" to "d63925e8e60507a80009e13017b8bb8e225f07d1".
Changed file "es.class" from "6cb3936e46d2b010fde909773fdd028242b4d6dd" to "57c64648e91f4274cef2d13172064098de83fb55".
Changed file "et.class" from "0f97ee642bea89fa86b30e886210b617b1c9fc8f" to "ff4b1c20029b168cee5b0f2eb58f068c5ed9eb70".
Changed file "eu.class" from "13824de431f357b578abbe8a0f7e0fd115126379" to "ba9800140771f14bdda7125d3579d5dc98176a61".
Changed file "ev.class" from "a466dbb6cae05ad09f5d65760a700158d0a4a026" to "7bf8586a99ccfeeae466454d340c16986b47d0d9".
Changed file "ew.class" from "d212bc0ec2e50e0bbf9cdb96588dfa3c7b747702" to "dbd3c71fd4445642d08792f31b16d28fedaf3b6b".
Changed file "ex.class" from "913850f6d86ff530241c94646781f901d12f340f" to "0086dfe02b540fccd2a489ec71a94937d6dfa078".
Changed file "ey.class" from "db46f284d28baf095f577aced826f45fcc14e123" to "17e272bda56794725cbdc4deb312dd05ec52e043".
Changed file "ez.class" from "386b7d6f29dbdee335957515a45101c7ccf367dc" to "3a9ad3c2865552aa061bb29f8664a7bbe2f3e3ac".
Changed file "f.class" from "0922b8cbe37108a7cedbf39064230c6d3021e6a2" to "75900ab547794aa64420cd7eb2c0ee92b69a1c36".
Changed file "fa.class" from "8c8576f979af31a29ff81eee60018d26664ee586" to "092cf0dfc7fc2c61745599b1cc2ddd097d5312b2".
Changed file "fb.class" from "15b2cdaaae19fcf0244e0ac87f90d1d3a0e544c5" to "2d54c0818e6858228cd7d08b8eba33a14f72d409".
Changed file "fc.class" from "8221de56663637b44e53c746358d9cedeedb5775" to "1b7c6900fabe64834f093143dec4c75dcbf40aa7".
